dataset	filt_nonrare_R2	filt_nonrare_P	filt_rare_R2	filt_rare_P	unfilt_nonrare_R2	unfilt_nonrare_P	unfilt_rare_R2	unfilt_rare_P
ArcticFireSoils	0.116430851040547	0.001	0.118777400655713	0.001	0.107601933181985	0.001	0.110623366393566	0.001
ArcticFreshwaters	0.0306144557443891	0.001	0.0327187537138362	0.001	0.0557225905105872	0.001	0.0554134639088689	0.001
ArcticTransects	0.0979264658820938	0.001	0.104210174168245	0.001	0.072541572653433	0.001	0.0699574948379634	0.001
art_scher	0.0293679032724185	0.151	0.033881342084829	0.063	0.0239472881464801	0.028	0.025226486695914	0.031
asd_son	0.00903991486063062	0.874	0.0085094858452797	0.906	0.00854818981481689	0.762	0.00830043644019556	0.822
BISCUIT	0.034316738852871	0.211	0.0320188550727848	0.329	0.0313535814184384	0.203	0.0296793892759467	0.267
Blueberry	0.0530782651231991	0.003	0.05422671446061	0.002	0.0429866738259712	0.001	0.0432588729130845	0.001
cdi_schubert	0.107964496513486	0.001	0.113210897497602	0.001	0.092686728162187	0.001	0.0956652261719034	0.001
cdi_vincent	0.0671715708351409	0.002	0.0604357872192049	0.008	0.0532292988955698	0.001	0.0475304835433114	0.006
Chemerin	0.422069937034238	0.001	0.450822994281947	0.001	0.39843613296692	0.001	0.426821102288684	0.001
crc_baxter	0.00559127673014292	0.07	0.00649815611421106	0.016	0.00489919609710061	0.088	0.00568167286951534	0.025
crc_zeller	0.0200389260246195	0.001	0.0203915915094094	0.001	0.0190927176794497	0.001	0.0193202369195699	0.001
edd_singh	0.0959002187722125	0.001	0.103790332401906	0.001	0.0734872585154947	0.001	0.0802380403989765	0.001
Exercise	0.0165383766026926	0.129	0.018697082361532	0.073	0.0170586885725996	0.106	0.0207080291912292	0.04
glass_plastic_oberbeckmann	0.0805474418368185	0.004	0.0793734441526137	0.004	0.0784808575910739	0.004	0.0781870997116278	0.003
GWMC_ASIA_NA	0.0638369810080224	0.001	0.0663551002501294	0.001	0.055698357643091	0.001	0.0574630918379047	0.001
GWMC_HOT_COLD	0.0253009009796941	0.001	0.0263941325355094	0.001	0.0226881690940975	0.001	0.0235370257608044	0.001
hiv_dinh	0.0479358205301399	0.358	0.0365808699887769	0.737	0.0401520795920137	0.206	0.0358141000401257	0.357
hiv_lozupone	0.0559897959939816	0.143	0.0701575011263694	0.07	0.0596378396769087	0.068	0.0720234249877082	0.024
hiv_noguerajulian	0.0117599085985723	0.007	0.0147649589663225	0.003	0.0107734475528079	0.011	0.0145971316463098	0.001
ibd_gevers	0.0159465944925995	0.001	0.0175993756048021	0.001	0.0132626671952414	0.003	0.0140370826511317	0.003
ibd_papa	0.0693333505841738	0.316	0.0722723939736976	0.229	0.0544291085297718	0.109	0.0553025749662446	0.09
Ji_WTP_DS	0.259543620863993	0.001	0.262747131701576	0.001	0.24188749808027	0.001	0.245332163398253	0.001
MALL	0.0863571720617086	0.001	0.0860956148488012	0.001	0.0719247347954552	0.001	0.0736524723141514	0.001
ob_goodrich	0.00680033244961309	0.001	0.00696166437183179	0.001	0.0060967693517676	0.001	0.00634742011048468	0.001
ob_ross	0.0180865476823261	0.754	0.0197898206534867	0.581	0.0150991545551047	0.901	0.0163224944946619	0.794
ob_turnbaugh	0.035858528458453	0.022	0.0391372210269653	0.01	0.0242662221095587	0.001	0.0206472068762274	0.013
ob_zhu	0.0674261338979812	0.001	0.0699134711047738	0.002	0.0555311499642529	0.003	0.0567603845063669	0.001
Office	0.0118643899440962	0.001	0.0136125541369809	0.001	0.00590165992607382	0.001	0.00572839189365014	0.001
par_scheperjans	0.0306335608629616	0.709	0.0312092327207969	0.716	0.012360994791374	0.008	0.0122265239708879	0.016
sed_plastic_hoellein	0.109032788302582	0.002	0.100507172113011	0.004	0.104917144662532	0.002	0.0988455580196773	0.002
sed_plastic_rosato	0.178868801445473	0.001	0.184765545735814	0.001	0.177332988091263	0.001	0.182730241015584	0.001
seston_plastic_mccormick	0.108100178985157	0.001	0.109354049572423	0.001	0.0966740040815368	0.001	0.0952864225338249	0.001
sw_plastic_frere	0.220359303341093	0.001	0.21528897530646	0.001	0.201046585286705	0.001	0.192316573759398	0.001
sw_sed_detender	0.317035586647081	0.001	0.352922528933158	0.001	0.286975851836558	0.001	0.313845961035455	0.001
t1d_alkanani	0.106900168960632	0.141	0.138442141089384	0.046	0.0175741463857884	0.004	0.0160637014093064	0.001
t1d_mejialeon	0.16706485066504	0.001	0.172699171191831	0.001	0.121402016139151	0.002	0.118439423787597	0.002
wood_plastic_kesy	0.0579138052214306	0.001	0.0549819136995836	0.005	0.0570852092203069	0.001	0.0518989767690092	0.001
