ALDEx2,0.310442162558169,0.609739737984254,0.609739737984254,0.360090911075151,0.148676589188162,0.422355151451722,0.31392540965526,-0.176257516959533,0.37524266538732
ANCOM-II,0.123698962824438,0.717165508593861,0.717165508593861,0.128929861557198,0.166392913938304,0.491510865596556,0.274181345350608,-0.242633511766519,0.103078164592458
corncob,0.161904761904762,0.605122045797888,0.605122045797888,0.132100254888416,0.0867899769068051,0.325818110027186,0.240669809858845,-0.0489219668062319,0.0819743918073102
DESeq2,0.182795373413175,0.635203712474948,0.635203712474948,0.273091551221107,0.0381516900140286,0.335033231847332,0.31749222494433,-0.0593105295907744,0.252590499403224
edgeR,-0.28214950878404,0.555531239741766,0.555531239741766,-0.248933143669986,-0.396870554765292,-0.0683882262829631,-0.202757413283729,-0.211292263923843,-0.260094102199365
LEfSe,0.116668493546853,0.622934675566254,0.622934675566254,0.0736404420614947,0.0804245541087646,0.160302002407266,0.121785753364701,-0.0491301017616807,0.039282197176934
limma voom (TMM),0.431113843123425,0.347383925606315,0.347383925606315,0.50653295945439,0.0216223170124626,0.352213275598947,0.344310702883732,-0.0306224692714572,0.486117979940086
limma voom (TMMwsp),0.48307229152788,0.406621899994803,0.406621899994803,0.555024053277577,0.174235120706073,0.344622778178888,0.342644082801784,-0.0256131123813974,0.517868551196409
MaAsLin2,0.348702499421802,0.57207300486481,0.57207300486481,0.338687765714419,0.240643631755547,0.428245163704186,0.277940602988193,-0.152202909551188,0.306974173408816
MaAsLin2 (rare),0.363846427493624,0.518940831240245,0.518940831240245,0.389967941299797,0.1320221614189,0.354731915326574,0.249927325252375,-0.0972378793684115,0.34863337236967
metagenomeSeq,0.221462621431648,0.677755471902251,0.677755471902251,0.309359541268669,0.185084064969548,0.453350734841627,0.294517372084995,-0.18441949022998,0.291416023300347
t-test (rare),0.468049885499624,0.425533017403222,0.425533017403222,0.426111658982503,0.248005780879822,0.45689539100025,0.397526764966023,-0.0384218008642561,0.395096470333043
Wilcoxon (CLR),0.363206690755707,0.534428754498658,0.534428754498658,0.475264361166474,0.216592129853672,0.453249703182406,0.35785285191811,-0.213381658897662,0.480538706308491
Wilcoxon (rare),0.435916839773426,0.489252841760518,0.489252841760518,0.446140803208384,0.169352342929525,0.4190811194363,0.326206781066012,-0.082210988409255,0.424355464578317
