,variable,Score,value,Method_clean,Total_Hits
1,aldex2,1,0,ALDEx2,7429
2,ancom,1,0,ANCOM-II,4365
3,corncob,1,0.355490498470868,corncob,38257
4,deseq2,1,0.277573217016938,DESeq2,17653
5,edger,1,11.3562586951093,edgeR,56066
6,lefse,1,9.63429271905406,LEfSe,78314
7,limma_voom_TMM,1,2.378141630701,limma voom (TMM),578561
8,limma_voom_TMMwsp,1,2.56613223568694,limma voom (TMMwsp),625338
9,maaslin2,1,0.398167230236699,MaAsLin2,49979
10,maaslin2rare,1,0,MaAsLin2 (rare),39115
11,metagenomeSeq,1,0.119589715284486,metagenomeSeq,43482
12,ttestrare,1,0.0205030071077091,t-test (rare),29264
13,wilcoxonclr,1,1.28619534302762,Wilcoxon (CLR),355467
14,wilcoxonrare,1,0,Wilcoxon (rare),41222
15,aldex2,2,0,ALDEx2,7429
16,ancom,2,0.778923253150057,ANCOM-II,4365
17,corncob,2,2.21658781399482,corncob,38257
18,deseq2,2,1.28023565399649,DESeq2,17653
19,edger,2,9.60118431848179,edgeR,56066
20,lefse,2,4.39512730801645,LEfSe,78314
21,limma_voom_TMM,2,43.1864574349118,limma voom (TMM),578561
22,limma_voom_TMMwsp,2,46.4934163604323,limma voom (TMMwsp),625338
23,maaslin2,2,1.02843194141539,MaAsLin2,49979
24,maaslin2rare,2,0.028122203758149,MaAsLin2 (rare),39115
25,metagenomeSeq,2,0.90152246906766,metagenomeSeq,43482
26,ttestrare,2,0.0341716785128486,t-test (rare),29264
27,wilcoxonclr,2,13.6215176092295,Wilcoxon (CLR),355467
28,wilcoxonrare,2,0.0994614526223861,Wilcoxon (rare),41222
29,aldex2,3,0.0942253331538565,ALDEx2,7429
30,ancom,3,1.28293241695304,ANCOM-II,4365
31,corncob,3,4.9742530778681,corncob,38257
32,deseq2,3,2.4358465983119,DESeq2,17653
33,edger,3,14.0816180929619,edgeR,56066
34,lefse,3,5.55967004622417,LEfSe,78314
35,limma_voom_TMM,3,43.7079236243024,limma voom (TMM),578561
36,limma_voom_TMMwsp,3,40.7833843457458,limma voom (TMMwsp),625338
37,maaslin2,3,3.73356809860141,MaAsLin2,49979
38,maaslin2rare,3,0.301674549405599,MaAsLin2 (rare),39115
39,metagenomeSeq,3,4.21323766156111,metagenomeSeq,43482
40,ttestrare,3,6.45503007107709,t-test (rare),29264
41,wilcoxonclr,3,69.708017903209,Wilcoxon (CLR),355467
42,wilcoxonrare,3,0.980059191693756,Wilcoxon (rare),41222
43,aldex2,4,0.107686095032979,ALDEx2,7429
44,ancom,4,1.42038946162658,ANCOM-II,4365
45,corncob,4,7.46268656716418,corncob,38257
46,deseq2,4,3.31954908514134,DESeq2,17653
47,edger,4,8.9465986515892,edgeR,56066
48,lefse,4,14.9871031999387,LEfSe,78314
49,limma_voom_TMM,4,3.03961034359385,limma voom (TMM),578561
50,limma_voom_TMMwsp,4,2.86437094819122,limma voom (TMMwsp),625338
51,maaslin2,4,7.12099081614278,MaAsLin2,49979
52,maaslin2rare,4,1.1888022497763,MaAsLin2 (rare),39115
53,metagenomeSeq,4,8.74844763350352,metagenomeSeq,43482
54,ttestrare,4,7.02911427009295,t-test (rare),29264
55,wilcoxonclr,4,4.22795927610721,Wilcoxon (CLR),355467
56,wilcoxonrare,4,2.30944641211004,Wilcoxon (rare),41222
57,aldex2,5,0.28267599946157,ALDEx2,7429
58,ancom,5,1.35166093928981,ANCOM-II,4365
59,corncob,5,8.68337820529576,corncob,38257
60,deseq2,5,3.98232595026341,DESeq2,17653
61,edger,5,6.48343024292798,edgeR,56066
62,lefse,5,9.19758919222617,LEfSe,78314
63,limma_voom_TMM,5,1.4836810638809,limma voom (TMM),578561
64,limma_voom_TMMwsp,5,1.38613038069012,limma voom (TMMwsp),625338
65,maaslin2,5,6.9269093019068,MaAsLin2,49979
66,maaslin2rare,5,3.09599897737441,MaAsLin2 (rare),39115
67,metagenomeSeq,5,6.897106848811,metagenomeSeq,43482
68,ttestrare,5,7.09404045926736,t-test (rare),29264
69,wilcoxonclr,5,1.90256760824493,Wilcoxon (CLR),355467
70,wilcoxonrare,5,4.23075057008394,Wilcoxon (rare),41222
71,aldex2,6,0.767263427109974,ALDEx2,7429
72,ancom,6,1.30584192439863,ANCOM-II,4365
73,corncob,6,8.23117338003503,corncob,38257
74,deseq2,6,4.5488019033592,DESeq2,17653
75,edger,6,6.517318874184,edgeR,56066
76,lefse,6,9.88839798758843,LEfSe,78314
77,limma_voom_TMM,6,0.90085574381958,limma voom (TMM),578561
78,limma_voom_TMMwsp,6,1.03559994754837,limma voom (TMMwsp),625338
79,maaslin2,6,11.3027471538046,MaAsLin2,49979
80,maaslin2rare,6,10.8858494183817,MaAsLin2 (rare),39115
81,metagenomeSeq,6,11.2000367968355,metagenomeSeq,43482
82,ttestrare,6,5.86044286495353,t-test (rare),29264
83,wilcoxonclr,6,1.29294702461832,Wilcoxon (CLR),355467
84,wilcoxonrare,6,11.5132696133133,Wilcoxon (rare),41222
85,aldex2,7,1.15762552160452,ALDEx2,7429
86,ancom,7,1.62657502863688,ANCOM-II,4365
87,corncob,7,9.55903494785268,corncob,38257
88,deseq2,7,4.82071036084518,DESeq2,17653
89,edger,7,5.33300039239468,edgeR,56066
90,lefse,7,9.68919988763184,LEfSe,78314
91,limma_voom_TMM,7,0.951671474572258,limma voom (TMM),578561
92,limma_voom_TMMwsp,7,0.892317434731297,limma voom (TMMwsp),625338
93,maaslin2,7,13.2455631365173,MaAsLin2,49979
94,maaslin2rare,7,14.6184328262815,MaAsLin2 (rare),39115
95,metagenomeSeq,7,11.0988454992871,metagenomeSeq,43482
96,ttestrare,7,4.81137233460908,t-test (rare),29264
97,wilcoxonclr,7,1.45780058345782,Wilcoxon (CLR),355467
98,wilcoxonrare,7,14.8634224443258,Wilcoxon (rare),41222
99,aldex2,8,2.09987885314309,ALDEx2,7429
100,ancom,8,2.31386025200458,ANCOM-II,4365
101,corncob,8,8.95522388059701,corncob,38257
102,deseq2,8,5.39285107347193,DESeq2,17653
103,edger,8,5.07972746406021,edgeR,56066
104,lefse,8,8.13009168220242,LEfSe,78314
105,limma_voom_TMM,8,0.9169301076291,limma voom (TMM),578561
106,limma_voom_TMMwsp,8,0.750314230064381,limma voom (TMMwsp),625338
107,maaslin2,8,12.0110446387483,MaAsLin2,49979
108,maaslin2rare,8,14.0636584430525,MaAsLin2 (rare),39115
109,metagenomeSeq,8,10.4755990984775,metagenomeSeq,43482
110,ttestrare,8,7.30932203389831,t-test (rare),29264
111,wilcoxonclr,8,1.37706172443574,Wilcoxon (CLR),355467
112,wilcoxonrare,8,13.730532240066,Wilcoxon (rare),41222
113,aldex2,9,3.60748418360479,ALDEx2,7429
114,ancom,9,2.54295532646048,ANCOM-II,4365
115,corncob,9,10.3118383563792,corncob,38257
116,deseq2,9,6.22557072452274,DESeq2,17653
117,edger,9,5.33656761673742,edgeR,56066
118,lefse,9,7.12516280613939,LEfSe,78314
119,limma_voom_TMM,9,0.805965144556927,limma voom (TMM),578561
120,limma_voom_TMMwsp,9,0.704259136658895,limma voom (TMMwsp),625338
121,maaslin2,9,10.7745253006263,MaAsLin2,49979
122,maaslin2rare,9,13.4807618560654,MaAsLin2 (rare),39115
123,metagenomeSeq,9,10.3813072075801,metagenomeSeq,43482
124,ttestrare,9,12.0455166757791,t-test (rare),29264
125,wilcoxonclr,9,1.13259458683928,Wilcoxon (CLR),355467
126,wilcoxonrare,9,12.4836252486536,Wilcoxon (rare),41222
127,aldex2,10,4.61704132453897,ALDEx2,7429
128,ancom,10,3.59679266895762,ANCOM-II,4365
129,corncob,10,11.1561282902475,corncob,38257
130,deseq2,10,9.65275024075228,DESeq2,17653
131,edger,10,6.59936503406699,edgeR,56066
132,lefse,10,6.47010751589754,LEfSe,78314
133,limma_voom_TMM,10,0.743050430291706,limma voom (TMM),578561
134,limma_voom_TMMwsp,10,0.712574639634885,limma voom (TMMwsp),625338
135,maaslin2,10,10.1042437823886,MaAsLin2,49979
136,maaslin2rare,10,12.6626613831011,MaAsLin2 (rare),39115
137,metagenomeSeq,10,10.4480014718734,metagenomeSeq,43482
138,ttestrare,10,13.6208310552214,t-test (rare),29264
139,wilcoxonclr,10,1.05213704788349,Wilcoxon (CLR),355467
140,wilcoxonrare,10,11.7752656348552,Wilcoxon (rare),41222
141,aldex2,11,8.77641674518778,ALDEx2,7429
142,ancom,11,3.6426116838488,ANCOM-II,4365
143,corncob,11,8.78009253208563,corncob,38257
144,deseq2,11,13.5784285957061,DESeq2,17653
145,edger,11,6.62076838012343,edgeR,56066
146,lefse,11,4.84332303291876,LEfSe,78314
147,limma_voom_TMM,11,0.554479130117654,limma voom (TMM),578561
148,limma_voom_TMMwsp,11,0.571690829599353,limma voom (TMMwsp),625338
149,maaslin2,11,7.56117569379139,MaAsLin2,49979
150,maaslin2rare,11,9.53598363799054,MaAsLin2 (rare),39115
151,metagenomeSeq,11,8.04470815509866,metagenomeSeq,43482
152,ttestrare,11,10.9554401312192,t-test (rare),29264
153,wilcoxonclr,11,0.842553598505628,Wilcoxon (CLR),355467
154,wilcoxonrare,11,8.87875406336422,Wilcoxon (rare),41222
155,aldex2,12,18.266253869969,ALDEx2,7429
156,ancom,12,6.39175257731959,ANCOM-II,4365
157,corncob,12,8.24685678437933,corncob,38257
158,deseq2,12,19.1355576955758,DESeq2,17653
159,edger,12,6.06428138265616,edgeR,56066
160,lefse,12,4.35937380289603,LEfSe,78314
161,limma_voom_TMM,12,0.562257048090003,limma voom (TMM),578561
162,limma_voom_TMMwsp,12,0.524036601006176,limma voom (TMMwsp),625338
163,maaslin2,12,6.82886812461234,MaAsLin2,49979
164,maaslin2rare,12,8.68720439729004,MaAsLin2 (rare),39115
165,metagenomeSeq,12,7.43526056759119,metagenomeSeq,43482
166,ttestrare,12,10.3232640787315,t-test (rare),29264
167,wilcoxonclr,12,0.838896437644001,Wilcoxon (CLR),355467
168,wilcoxonrare,12,8.2674300130998,Wilcoxon (rare),41222
169,aldex2,13,25.9254273791897,ALDEx2,7429
170,ancom,13,15.3722794959908,ANCOM-II,4365
171,corncob,13,4.40703662074914,corncob,38257
172,deseq2,13,10.9159916161559,DESeq2,17653
173,edger,13,3.43523704205757,edgeR,56066
174,lefse,13,2.46699185330848,LEfSe,78314
175,limma_voom_TMM,13,0.328573823676328,limma voom (TMM),578561
176,limma_voom_TMMwsp,13,0.308313264186728,limma voom (TMMwsp),625338
177,maaslin2,13,3.865623561896,MaAsLin2,49979
178,maaslin2rare,13,4.93672504154416,MaAsLin2 (rare),39115
179,metagenomeSeq,13,4.17644082608896,metagenomeSeq,43482
180,ttestrare,13,5.73400765445599,t-test (rare),29264
181,wilcoxonclr,13,0.542947727918485,Wilcoxon (CLR),355467
182,wilcoxonrare,13,4.6868177186939,Wilcoxon (rare),41222
183,aldex2,14,34.2980212680038,ALDEx2,7429
184,ancom,14,58.3734249713631,ANCOM-II,4365
185,corncob,14,6.66021904488068,corncob,38257
186,deseq2,14,14.4338072848808,DESeq2,17653
187,edger,14,4.54464381264938,edgeR,56066
188,lefse,14,3.25356896595756,LEfSe,78314
189,limma_voom_TMM,14,0.440402999856541,limma voom (TMM),578561
190,limma_voom_TMMwsp,14,0.407459645823539,limma voom (TMMwsp),625338
191,maaslin2,14,5.09814121931211,MaAsLin2,49979
192,maaslin2rare,14,6.51412501597853,MaAsLin2 (rare),39115
193,metagenomeSeq,14,5.85989604893979,metagenomeSeq,43482
194,ttestrare,14,8.70694368507381,t-test (rare),29264
195,wilcoxonclr,14,0.716803528878911,Wilcoxon (CLR),355467
196,wilcoxonrare,14,6.18116539711804,Wilcoxon (rare),41222
